state,district,year,time_step,start_date,end_date,B7,B8,B8A,B12,image_count,mean_cloud_cover,quality_flag
Uttar_Pradesh,Saharanpur,2022,0,2022-10-01,2022-10-06,0.3815534107974629,0.3484978066377318,0.40263194125728013,0.17082680846909756,5,9.41986204582001,valid
Uttar_Pradesh,Saharanpur,2022,1,2022-10-06,2022-10-11,0.2638430222151608,0.2448187809926188,0.28995213825745764,0.08655628067295157,4,7.639142703574295,valid
Uttar_Pradesh,Saharanpur,2022,2,2022-10-11,2022-10-16,,,,,0,,missing_bands
Uttar_Pradesh,Saharanpur,2022,3,2022-10-16,2022-10-21,0.24239102538979296,0.23417977258595757,0.26724671349868984,0.09415362523732274,5,0.38155700537557646,valid
Uttar_Pradesh,Saharanpur,2022,4,2022-10-21,2022-10-26,0.2377124751532396,0.2258974198997439,0.260657217354521,0.10736693262055455,5,0.45746152111346083,valid
Uttar_Pradesh,Saharanpur,2022,5,2022-10-26,2022-10-31,0.22839692321822036,0.22392778742836683,0.25069927183881485,0.11374642260108546,5,0.0080061798913604,valid
Uttar_Pradesh,Saharanpur,2022,6,2022-10-31,2022-11-05,0.213278564429357,0.20657923431867195,0.23376027120183204,0.11703734276210505,5,0.18505913012378342,valid
Uttar_Pradesh,Saharanpur,2022,7,2022-11-05,2022-11-10,0.22763959419979327,0.21261839230472357,0.24300519579965443,0.12138981250052103,5,1.5325627365177812,valid
Uttar_Pradesh,Saharanpur,2022,8,2022-11-10,2022-11-15,0.27260853078267694,0.24741027551947647,0.2792813787811554,0.12666141175003268,5,5.956008397397646,valid
Uttar_Pradesh,Saharanpur,2022,9,2022-11-15,2022-11-20,0.22483568344721178,0.21520633900162967,0.24257440226302723,0.15287687023987834,4,17.033169169415977,valid
Uttar_Pradesh,Saharanpur,2022,10,2022-11-20,2022-11-25,0.19607354488873407,0.18906505790229264,0.2133019055679716,0.12490586799846265,5,9.715715808717162,valid
Uttar_Pradesh,Saharanpur,2022,11,2022-11-25,2022-11-30,0.1930258247043636,0.1864139629037398,0.20936617134975333,0.12094669686923241,5,0.3529999598633992,valid
Uttar_Pradesh,Saharanpur,2022,12,2022-11-30,2022-12-05,0.1961415217401902,0.18823878276309935,0.21069814359542005,0.11698533277476854,5,0.009826042887255521,valid
Uttar_Pradesh,Saharanpur,2022,13,2022-12-05,2022-12-10,0.19686090904309828,0.19006034722567258,0.21100271655268577,0.11127323998457979,5,0.12602253086902054,valid
Uttar_Pradesh,Saharanpur,2022,14,2022-12-10,2022-12-15,0.2587744774930537,0.24542268764340808,0.2687814353907062,0.13021833650129566,1,16.1535429544029,valid
Uttar_Pradesh,Saharanpur,2022,15,2022-12-15,2022-12-20,0.20403149491173778,0.20005991948715135,0.21827875998191712,0.10711544855426365,5,0.0,valid
Uttar_Pradesh,Saharanpur,2022,16,2022-12-20,2022-12-25,,,,,0,,missing_bands
Uttar_Pradesh,Saharanpur,2022,17,2022-12-25,2022-12-30,,,,,0,,missing_bands
Uttar_Pradesh,Saharanpur,2022,18,2022-12-30,2023-01-04,,,,,0,,missing_bands
Uttar_Pradesh,Saharanpur,2022,19,2023-01-04,2023-01-09,0.22167286182478763,0.21884001958852076,0.2377984055746588,0.1631045631362081,1,13.6675819538923,valid
Uttar_Pradesh,Saharanpur,2022,20,2023-01-09,2023-01-14,,,,,0,,missing_bands
Uttar_Pradesh,Saharanpur,2022,21,2023-01-14,2023-01-19,0.17835444045962628,0.17252272536785118,0.1922425992483526,0.10023176594526163,1,25.5603870211539,valid
Uttar_Pradesh,Saharanpur,2022,22,2023-01-19,2023-01-24,,,,,0,,missing_bands
Uttar_Pradesh,Saharanpur,2022,23,2023-01-24,2023-01-29,0.2770216361624965,0.26082609174144716,0.2896887165561834,0.12467891174896918,2,23.4994838800195,valid
Uttar_Pradesh,Saharanpur,2022,24,2023-01-29,2023-02-03,,,,,0,,missing_bands
Uttar_Pradesh,Saharanpur,2022,25,2023-02-03,2023-02-08,0.2564069219564313,0.24665021997306874,0.27055415953776274,0.09230479869102687,4,8.68601975119457,valid
Uttar_Pradesh,Saharanpur,2022,26,2023-02-08,2023-02-13,0.2682335663889734,0.2583246788980412,0.2829678811721993,0.09119804617079555,4,9.272094482894243,valid
Uttar_Pradesh,Saharanpur,2022,27,2023-02-13,2023-02-18,0.27203751419419603,0.26921747293390913,0.2893010146398391,0.09414482504291918,5,2.094336653305172,valid
Uttar_Pradesh,Saharanpur,2022,28,2023-02-18,2023-02-23,0.2614774815945976,0.25050053404436373,0.2770143355930112,0.09081547708567932,3,4.814854773401113,valid
Uttar_Pradesh,Saharanpur,2022,29,2023-02-23,2023-02-28,0.27455953263491334,0.2733719104456039,0.29267954586134953,0.09139311616063178,5,0.05629525254977126,valid
Uttar_Pradesh,Saharanpur,2022,30,2023-02-28,2023-03-05,,,,,0,,missing_bands
Uttar_Pradesh,Saharanpur,2022,31,2023-03-05,2023-03-10,0.2701308559634307,0.2615172320287753,0.2909397375744901,0.09418658683438376,5,0.358091067375486,valid
Uttar_Pradesh,Saharanpur,2022,32,2023-03-10,2023-03-15,0.25995846807404044,0.24767523581067183,0.2793558410803953,0.09611353541105543,5,0.05603116763042548,valid
Uttar_Pradesh,Saharanpur,2022,33,2023-03-15,2023-03-20,0.24312164877460132,0.2351016491437061,0.264519322975711,0.10094820382881307,4,6.804339226911152,valid
Uttar_Pradesh,Saharanpur,2022,34,2023-03-20,2023-03-25,,,,,0,,missing_bands
Uttar_Pradesh,Saharanpur,2022,35,2023-03-25,2023-03-30,0.2609264694082723,0.24889087863604215,0.2813143637581748,0.10699678442074051,4,20.0507970308262,valid
